text,label
চাকরি পেয়ে আমি ভীষণ ভালো লাগছে এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
আজকে আমি একা ভেতরে ভেতরে খারাপ এবং কেউ আমার মনের কষ্ট বোঝে না।,sad
আজকে আমি সবার ওপর ভীষণ রকম ক্ষোভ প্রকাশ করছি এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
আমরা অনেক সহ্য করতে পারছি না এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
আমি অনেক রাগান্বিত কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
খবর শুনে আমি সত্যিই হতাশ কারণ প্রিয় মানুষটি দূরে চলে গেছে।,sad
আজ আমার মেজাজ সত্যিই ঘৃণা করছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আমার ভাই ভীষণ উজ্জ্বল হাসছি এবং সবার সাথে আনন্দ ভাগ করে নিচ্ছি।,happy
আমার বন্ধু খুবই উত্তেজিত হয়েছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
বিজ্ঞানীরা ল্যাবে গাছপালা আমাদের সাইকেল পরিষ্কার করেন এবং তারা দলগত আলোচনা সভার আয়োজন করেছে।,neutral
আজকে আমি একা খুবই অসহায় লাগছে কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
আমরা চরম ঘৃণা করছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আজ আমাদের মন সত্যিই শঙ্কিত বোধ করছি এবং ভীতি দূর করার কোনো উপায় পাচ্ছি না।,fear
আমরা আজ মেজাজ খারাপ করছি কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
আজকে আমি একা ঘরে অনেক হাত পা ঠাণ্ডা হচ্ছে এবং ঐ গভীর জঙ্গলে একা রাত কাটাতে পারবো না।,fear
আমি সত্যিই বিরক্ত কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমাদের দেশে ছাত্ররা লাইব্রেরিতে ইতিহাস পড়তে ভালোবাসেন যা স্বাস্থ্যের জন্য অনেক উপকারী।,neutral
আমার সহকর্মী অনেক রাগান্বিত কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
আজকে আমি একা ঘরে মনে মনে আতঙ্ক গ্রাস করছে কারণ সামনের অতল গহ্বর দেখে মাথা ঘুরছে।,fear
আজকে আমি সবার ওপর অত্যন্ত ক্ষুব্ধ কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
খবর শুনে আমি মন থেকে হতাশ এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
আমার ছোট ভাই খুবই আশঙ্কায় আছি এবং ভীতি দূর করার কোনো উপায় পাচ্ছি না।,fear
আমার বন্ধু খুবই অপমানিত বোধ করছি এবং এখনই আমার চোখের সামনে থেকে দূরে যাও।,angry
আমরা মন থেকে গর্বিত এবং সবাই আমাদের অভিনন্দন জানাচ্ছে।,happy
অন্ধকারে আমি আজ আতঙ্কিত হয়েছি এবং ভীতি দূর করার কোনো উপায় পাচ্ছি না।,fear
আমি কৃষকেরা জমিতে সাইকেল পরিষ্কার করেন যা মানুষের জ্ঞান বৃদ্ধি করতে সাহায্য করে।,neutral
চাকরি পেয়ে আমি সত্যিই জয় পেয়েছি কারণ আমাদের সব চেষ্টা সফল হয়েছে।,happy
আমরা ভীষণ হাত পা ঠাণ্ডা হচ্ছে কারণ হঠাৎ একটা বিকট শব্দ শুনে চমকে উঠলাম।,fear
আমার পরিবার মন থেকে কান্না পাচ্ছি কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
চাকরি পেয়ে আমি আজ খুশি এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
আমার পরিবার খুবই আনন্দিত এবং মনটা অনেক হালকা ও সতেজ লাগছে।,happy
আমার ছোট বোন মন থেকে খুশি কারণ আমাদের সব চেষ্টা সফল হয়েছে।,happy
প্রতারণা দেখে আমি ভীষণ মেজাজ খারাপ করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমার সহকর্মী অত্যন্ত রাগান্বিত কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
আমাদের টিম ভীষণ শঙ্কিত বোধ করছি কারণ হঠাৎ একটা বিকট শব্দ শুনে চমকে উঠলাম।,fear
আজ আমার মেজাজ চরমভাবে বিরক্ত এবং তোমার এই নোংরা স্বভাব আর বদলাবে না।,angry
সে কৃষকেরা জমিতে ছবি তুলতে পছন্দ করেন কারণ এটি তাদের দৈনন্দিন রুটিন।,neutral
আমি অনেক উত্তেজিত হয়েছি কারণ সে কাজের মাঝে ফালতু বিরক্ত করছে।,angry
আমরা মন থেকে সুখী কারণ চাকরিটা অবশেষে পেয়ে গেলাম।,happy
আমরা সকালে অক্সিজেন দিয়ে পরিবেশ রক্ষা করেন এবং সবাই মিলে গুরুত্বপূর্ণ সিদ্ধান্ত নিয়েছে।,neutral
আজকে আমরা সবাই ভীষণ রকম খুশি এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
আমাদের দল আজ উত্তেজিত হয়েছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমাদের দল চরমভাবে ঘৃণা করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
পরীক্ষার পর আমি খুবই উচ্ছ্বসিত এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
খবর শুনে আমি দারুণভাবে বেদনাদায়ক অবস্থায় আছি কারণ পরীক্ষায় আমি ফেইল করেছি।,sad
আজ আমাদের মন অত্যন্ত সফল হয়েছি এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
আজকে আমি একা ভীষণ দুঃখিত এবং চোখ দিয়ে অশ্রু ঝরছে।,sad
তিনি গাছপালা আমাদের ইতিহাস পড়তে ভালোবাসেন এবং সাধারণ কাজগুলো সফলভাবে সম্পন্ন করেছে।,neutral
ঢাকা বাংলাদেশের টেবিলের ওপর অফিসের কাজ করেন যা স্বাস্থ্যের জন্য অনেক উপকারী।,neutral
আমি চরমভাবে ঘৃণা করছি কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
আজ আমার মেজাজ মন থেকে উত্তেজিত হয়েছি এবং তোমার এই ফালতু আচরণ আর সহ্য হবে না।,angry
আজকে আমি সবার ওপর অত্যন্ত ঘৃণা করছি কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
আমার বন্ধু অত্যন্ত ক্ষুব্ধ কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
ঢাকা বাংলাদেশের সাধারণত বই ও কলম রাখেন এবং তারা দলগত আলোচনা সভার আয়োজন করেছে।,neutral
প্রতারণা দেখে আমি সত্যিই মেজাজ খারাপ করছি এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
"আজকে আমরা সবাই খুবই গর্বিত কারণ বাবা সুন্দর একটি উপহার দিয়েছেন, ধন্যবাদ।",happy
আমার ছোট ভাই অত্যন্ত আতঙ্কিত হয়েছি এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
চাকরি পেয়ে আমি অসাধারণ জয় পেয়েছি এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
শিক্ষকেরা ক্লাসে সাধারণত মেঘলা আকাশ দেখেন এবং পরিবেশ সুন্দর রাখতে বড় ভূমিকা রাখে।,neutral
"আজ আমাদের মন ভীষণ সুখী কারণ বাবা সুন্দর একটি উপহার দিয়েছেন, ধন্যবাদ।",happy
প্রতারণা দেখে আমি আজ ঘৃণা করছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
অন্ধকারে আমি ভীষণ অস্বস্তি বোধ করছি কারণ পরীক্ষার ফলাফল কী হবে তা বুঝতে পারছি না।,fear
তারা গাছপালা আমাদের ইতিহাস পড়তে ভালোবাসেন এবং পরিবেশ সুন্দর রাখতে বড় ভূমিকা রাখে।,neutral
আমি ভীষণ রকম গর্বিত এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
আমার বোন মনে মনে অস্বস্তি বোধ করছি কারণ সামনের অতল গহ্বর দেখে মাথা ঘুরছে।,fear
আমার মা চরম হাত পা ঠাণ্ডা হচ্ছে কারণ সামনের অতল গহ্বর দেখে মাথা ঘুরছে।,fear
আজকে আমি একা ঘরে মনে মনে ভয় পাচ্ছি এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
আমাদের পুরো পরিবার মন থেকে কষ্ট পাচ্ছি এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আজকে আমরা সবাই অসাধারণ উজ্জ্বল হাসছি এবং সবাই আমাদের অভিনন্দন জানাচ্ছে।,happy
আমার পরিবার অত্যন্ত দুঃখিত কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
আমরা অনেক অসহায় লাগছে কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
আমার বন্ধু সত্যিই ক্ষোভ প্রকাশ করছি এবং তোমার এই ফালতু আচরণ আর সহ্য হবে না।,angry
অন্যায় দেখে আমি ভীষণ অসন্তুষ্ট কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আজ আমাদের মন আতঙ্কের সাথে আশঙ্কায় আছি এবং বিপদের মুখে দাঁড়িয়ে হাত-পা অবশ হচ্ছে।,fear
আজকে আমি সবার ওপর মন থেকে বিরক্ত কারণ সে কাজের মাঝে ফালতু বিরক্ত করছে।,angry
আমার ভাই ভীষণ খুশি এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
সে সকালে ছবি তুলতে পছন্দ করেন যা অত্যন্ত প্রয়োজনীয় একটি উপাদান।,neutral
শিক্ষকেরা ক্লাসে সকালে ফুটবল খেলতে যান এবং সাধারণ জীবনযাপন করতে ভালোবাসেন।,neutral
আমি বিজ্ঞানীরা নতুন ফুটবল খেলতে যান এবং তারা দলগত আলোচনা সভার আয়োজন করেছে।,neutral
আজকে আমি একা ঘরে ভীষণ আতঙ্কিত হয়েছি কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
আমার ছোট ভাই ভীষণ ভেঙে পড়েছি এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমাদের দল চরম উত্তেজিত হয়েছি কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
আমার বন্ধু অসাধারণ খুশি এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
আমরা অত্যন্ত খারাপ কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
অন্যায় দেখে আমি অনেক রাগান্বিত এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আজ আমার মন সত্যিই অসহায় লাগছে এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমার বন্ধু ভীষণ রকম অসন্তুষ্ট কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
তিনি সকালে সাইকেল পরিষ্কার করেন এবং সাধারণ কাজগুলো সফলভাবে সম্পন্ন করেছে।,neutral
আমার সহকর্মী চরমভাবে বিরক্ত এবং তোমার এই ফালতু আচরণ আর সহ্য হবে না।,angry
তিনি কৃষকেরা জমিতে অফিসের কাজ করেন যা মানুষের জ্ঞান বৃদ্ধি করতে সাহায্য করে।,neutral
খবর শুনে আমি আজ অসহায় লাগছে এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
খবর শুনে আমি আজ কান্না পাচ্ছি কারণ প্রিয় মানুষটি দূরে চলে গেছে।,sad
আমাদের টিম মনে মনে ভীত হয়েছি এবং ঐ গভীর জঙ্গলে একা রাত কাটাতে পারবো না।,fear
আমার ছোট ভাই আতঙ্কের সাথে আতঙ্ক গ্রাস করছে এবং অজানা কোনো বিপদের আশঙ্কায় কাঁপছি।,fear
আমি চরম আশঙ্কায় আছি এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
আমার ছোট ভাই মনে মনে আতঙ্ক গ্রাস করছে কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
আমরা অসাধারণ খুশি এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
আমি খুবই খুশি এবং মনটা অনেক হালকা ও সতেজ লাগছে।,happy
"আমার পরিবার দারুণ গর্বিত কারণ বাবা সুন্দর একটি উপহার দিয়েছেন, ধন্যবাদ।",happy
আজকে আমি একা ঘরে অত্যন্ত অস্বস্তি বোধ করছি কারণ মনে হচ্ছে কেউ ঘরের দরজায় নক করছে।,fear
আমাদের দেশে টেবিলের ওপর ফুটবল খেলতে যান যা মানুষের জ্ঞান বৃদ্ধি করতে সাহায্য করে।,neutral
আজকে আমরা সবাই মন থেকে উচ্ছ্বসিত এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
খবর শুনে আমি মন থেকে ভেঙে পড়েছি কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
ঢাকা বাংলাদেশের সকালে ছবি তুলতে পছন্দ করেন যা মানুষের জ্ঞান বৃদ্ধি করতে সাহায্য করে।,neutral
আমরা ভীষণ রকম আতঙ্ক গ্রাস করছে এবং ভীতি দূর করার কোনো উপায় পাচ্ছি না।,fear
আমরা মন থেকে আনন্দিত এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
আমার বন্ধু আজ খুশি কারণ পরীক্ষায় জিপিএ ৫ পেয়েছি।,happy
আজ আমাদের মন ভীষণ আতঙ্কিত হয়েছি এবং বিপদের মুখে দাঁড়িয়ে হাত-পা অবশ হচ্ছে।,fear
তিনি আজকে ফুটবল খেলতে যান কারণ এটি তাদের দৈনন্দিন রুটিন।,neutral
আমি ভীষণ আশঙ্কায় আছি কারণ হঠাৎ একটা বিকট শব্দ শুনে চমকে উঠলাম।,fear
প্রতারণা দেখে আমি চরমভাবে ক্ষুব্ধ কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
পরীক্ষার পর আমি ভীষণ রকম উজ্জ্বল হাসছি এবং সবাই আমাদের অভিনন্দন জানাচ্ছে।,happy
আমাদের দল অত্যন্ত ক্ষোভ প্রকাশ করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমার বন্ধু ভীষণ ভেঙে পড়েছি কারণ প্রিয় মানুষটি দূরে চলে গেছে।,sad
চাকরি পেয়ে আমি অসাধারণ ভালো লাগছে এবং মনটা অনেক হালকা ও সতেজ লাগছে।,happy
চাকরি পেয়ে আমি খুবই ভালো লাগছে এবং সবার সাথে আনন্দ ভাগ করে নিচ্ছি।,happy
আজ আমাদের মন অনেক ভয় পাচ্ছি কারণ পরীক্ষার ফলাফল কী হবে তা বুঝতে পারছি না।,fear
আমাদের দল আজ ক্ষোভ প্রকাশ করছি কারণ সে কাজের মাঝে ফালতু বিরক্ত করছে।,angry
অন্যায় দেখে আমি ভীষণ রকম অপমানিত বোধ করছি কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
আমি সত্যিই ক্ষুব্ধ কারণ সে কাজের মাঝে ফালতু বিরক্ত করছে।,angry
আমার বড় ভাই ভীষণ ক্ষুব্ধ কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
আমি ভীষণ ক্ষোভ প্রকাশ করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
অন্যায় দেখে আমি অত্যন্ত ক্ষোভ প্রকাশ করছি কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
আজকে আমরা সবাই মন থেকে তৃপ্ত এবং সবার সাথে আনন্দ ভাগ করে নিচ্ছি।,happy
আজকে আমি একা সত্যিই দুঃখিত এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমি ছাত্ররা লাইব্রেরিতে খবরের কাগজ পড়েন এবং সবাই মিলে গুরুত্বপূর্ণ সিদ্ধান্ত নিয়েছে।,neutral
আমার ছোট বোন অনেক সুখী এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
আমার বড় ভাই অনেক উত্তেজিত হয়েছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আমার বন্ধু অনেক বেদনাদায়ক অবস্থায় আছি কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
ব্যর্থতার পর আমি অনেক অসহায় লাগছে কারণ প্রিয় মানুষটি দূরে চলে গেছে।,sad
আমার পরিবার সত্যিই বেদনাদায়ক অবস্থায় আছি এবং মনে শুধু একাকীত্ব ও শূন্যতা বিরাজ করছে।,sad
আজকে আমি একা ঘরে অত্যন্ত ভীত হয়েছি কারণ মনে হচ্ছে কেউ ঘরের দরজায় নক করছে।,fear
আমার ছোট ভাই খুবই আশঙ্কায় আছি কারণ মনে হচ্ছে কেউ ঘরের দরজায় নক করছে।,fear
আমার বোন আতঙ্কের সাথে আতঙ্ক গ্রাস করছে এবং অজানা কোনো বিপদের আশঙ্কায় কাঁপছি।,fear
আমার ভাই অত্যন্ত আনন্দিত এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
আজ আমাদের মন অত্যন্ত আতঙ্কিত হয়েছি কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
আমাদের দল চরম মেজাজ খারাপ করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমরা মনে মনে অস্বস্তি বোধ করছি এবং ভীতি দূর করার কোনো উপায় পাচ্ছি না।,fear
আজ আমার মন অনেক দুঃখিত এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
আমরা অনেক জয় পেয়েছি এবং মনটা অনেক হালকা ও সতেজ লাগছে।,happy
আমার পরিবার মন থেকে জয় পেয়েছি কারণ চাকরিটা অবশেষে পেয়ে গেলাম।,happy
সে আজকে সাইকেল পরিষ্কার করেন কারণ এটি আমাদের দেশের প্রধান রাজধানী।,neutral
আমি দারুণভাবে হতাশ কারণ পরীক্ষায় আমি ফেইল করেছি।,sad
আমাদের দেশে আজকে অক্সিজেন দিয়ে পরিবেশ রক্ষা করেন কারণ এটি আমাদের দেশের প্রধান রাজধানী।,neutral
বিজ্ঞানীরা ল্যাবে সাধারণত বই ও কলম রাখেন যা অত্যন্ত প্রয়োজনীয় একটি উপাদান।,neutral
আজকে আমি একা ঘরে আতঙ্কের সাথে হাত পা ঠাণ্ডা হচ্ছে কারণ পরীক্ষার ফলাফল কী হবে তা বুঝতে পারছি না।,fear
তিনি প্রতিদিন কৃষকেরা জমিতে ইতিহাস পড়তে ভালোবাসেন এবং সবাই মিলে গুরুত্বপূর্ণ সিদ্ধান্ত নিয়েছে।,neutral
আজ আমার মন অত্যন্ত হতাশ এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
আমার পরিবার সত্যিই একাকীত্বে ভুগছি এবং মনে শুধু একাকীত্ব ও শূন্যতা বিরাজ করছে।,sad
অন্যায় দেখে আমি অত্যন্ত উত্তেজিত হয়েছি কারণ তোমার অপমানজনক আচরণ সীমা ছাড়িয়েছে।,angry
ব্যর্থতার পর আমি ভীষণ রকম দুঃখিত এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমরা খুবই ভেঙে পড়েছি এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমাদের পুরো পরিবার ভেতরে ভেতরে কান্না পাচ্ছি এবং মনে শুধু একাকীত্ব ও শূন্যতা বিরাজ করছে।,sad
আমি আজ ভালো লাগছে এবং চারপাশে শুধু হাসি আর গান দেখছি।,happy
অন্ধকারে আমি অনেক হাত পা ঠাণ্ডা হচ্ছে কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
ব্যর্থতার পর আমি ভেতরে ভেতরে একাকীত্বে ভুগছি এবং চারপাশটা অন্ধকার ও শূন্য লাগছে।,sad
আমার মা অত্যন্ত হাত পা ঠাণ্ডা হচ্ছে কারণ মনে হচ্ছে কেউ আমার পিছু নিচ্ছে।,fear
পরীক্ষার পর আমি মন থেকে তৃপ্ত এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
পরীক্ষার পর আমি অত্যন্ত জয় পেয়েছি কারণ পরীক্ষায় জিপিএ ৫ পেয়েছি।,happy
আমাদের দল অনেক সহ্য করতে পারছি না কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
খবর শুনে আমি খুবই ভেঙে পড়েছি এবং চারপাশটা অন্ধকার ও শূন্য লাগছে।,sad
অন্যায় দেখে আমি খুবই মেজাজ খারাপ করছি এবং তোমার এই নোংরা স্বভাব আর বদলাবে না।,angry
বিজ্ঞানীরা ল্যাবে টেবিলের ওপর ইতিহাস পড়তে ভালোবাসেন যা স্বাস্থ্যের জন্য অনেক উপকারী।,neutral
আমি খুবই কষ্ট পাচ্ছি এবং মনে শুধু একাকীত্ব ও শূন্যতা বিরাজ করছে।,sad
আমার ছোট বোন অসাধারণ সফল হয়েছি এবং আমাদের নতুন বাড়িটি দেখতে সুন্দর লাগছে।,happy
প্রতারণা দেখে আমি অত্যন্ত ক্ষোভ প্রকাশ করছি কারণ তুমি আমার বিশ্বাস নিয়ে প্রতারণা করেছ।,angry
সে ছাত্ররা লাইব্রেরিতে বই ও কলম রাখেন কারণ এটি আমাদের দেশের প্রধান রাজধানী।,neutral
আমি আজ ঘৃণা করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমরা মন থেকে বিষণ্ণ এবং নিজেকে খুব আশাহীন ও একা মনে হচ্ছে।,sad
আমি আজ অসন্তুষ্ট কারণ তুমি আমার সাথে মিথ্যা কথা বলেছ।,angry
আমার সহকর্মী ভীষণ রকম ক্ষুব্ধ এবং এই চরম অন্যায় আমি কোনোভাবেই মেনে নেব না।,angry
প্রতারণা দেখে আমি অনেক রাগান্বিত এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আজ আমার মন অনেক ভেঙে পড়েছি এবং মনে শুধু একাকীত্ব ও শূন্যতা বিরাজ করছে।,sad
আমার ছোট ভাই ভীষণ রকম হতাশ এবং অতীতের স্মৃতির কারণে খুব কষ্ট হচ্ছে।,sad
আমাদের পুরো পরিবার খুবই বেদনাদায়ক অবস্থায় আছি কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
অন্যায় দেখে আমি অত্যন্ত ঘৃণা করছি কারণ সবাই আমার নামে ষড়যন্ত্র করছে।,angry
আমাদের দল মন থেকে অপমানিত বোধ করছি এবং আমার ব্যক্তিগত ব্যাপারে নাক গলাবে না।,angry
আমি অত্যন্ত ভালো লাগছে এবং আজকের দিনটি চমৎকার ও সুন্দর কাটল।,happy
তিনি প্রতিদিন বিজ্ঞানীরা নতুন বই ও কলম রাখেন এবং সাধারণ জীবনযাপন করতে ভালোবাসেন।,neutral
আমার বন্ধু সত্যিই উত্তেজিত হয়েছি এবং এখনই আমার চোখের সামনে থেকে দূরে যাও।,angry
ব্যর্থতার পর আমি দারুণভাবে কান্না পাচ্ছি কারণ আমাদের সব স্বপ্ন ভেঙে গেল।,sad
আমাদের টিম আতঙ্কের সাথে আতঙ্ক গ্রাস করছে এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
পরীক্ষার পর আমি অসাধারণ আনন্দিত এবং সবার সাথে আনন্দ ভাগ করে নিচ্ছি।,happy
আজকে আমি সবার ওপর অনেক অসন্তুষ্ট এবং তোমার এই নোংরা স্বভাব আর বদলাবে না।,angry
আমরা চরমভাবে ক্ষোভ প্রকাশ করছি এবং তোমার এই ফালতু আচরণ আর সহ্য হবে না।,angry
"আমার বন্ধু খুবই উচ্ছ্বসিত কারণ বাবা সুন্দর একটি উপহার দিয়েছেন, ধন্যবাদ।",happy
আমি বিকালে অক্সিজেন দিয়ে পরিবেশ রক্ষা করেন এবং পরিবেশ সুন্দর রাখতে বড় ভূমিকা রাখে।,neutral
আমি ভীষণ সফল হয়েছি কারণ আমাদের সব চেষ্টা সফল হয়েছে।,happy
তিনি ছাত্ররা লাইব্রেরিতে খবরের কাগজ পড়েন যা অত্যন্ত প্রয়োজনীয় একটি উপাদান।,neutral
আমার বোন চরম ভীত হয়েছি এবং ঐ অন্ধকার ও ভূতুড়ে বাড়িটার সামনে দিয়ে যাওয়ার সাহস নেই।,fear
